"binge-eating-disorder","Mengonsumsi makanan dalam jumlah yang banyak dalam kurun waktu yang spesifik, misalnya dalam kurun waktu 2 jam."
"binge-eating-disorder","Merasa bahwa perilaku makan tidak dapat dikendalikan."
"binge-eating-disorder","Mengonsumsi makanan walaupun merasa kenyang atau tidak merasa lapar."
"binge-eating-disorder","Mengonsumsi makanan dengan cepat."
"binge-eating-disorder","Mengonsumsi makanan hingga merasa kenyang dan tidak nyaman pada perut."
"binge-eating-disorder","Sering kali makan sendiri atau secara sembunyi-sembunyi."
"binge-eating-disorder","Merasa sedih, terganggu, malu, bersalah, atau marah terhadap perilaku makan."
"binge-eating-disorder","Sering kali mencoba untuk diet, tanpa penurunan berat badan."
"fibromyalgia","Nyeri yang meluas. Rasa nyeri menyebar ke seluruh tubuh atau hanya di beberapa area saja, seperti leher atau punggung. Sensasinya bisa berupa terbakar atau ditusuk. Nyeri ini akan berlangsung secara terus-menerus, dan tingkat keparahannya bisa berubah-ubah."
"fibromyalgia","Tingkat sensitivitas terhadap sakit meningkat. Bahkan sentuhan lembut sekali pun bisa terasa sangat sakit, dan rasa sakit tersebut membutuhkan waktu cukup lama sampai benar-benar hilang. Penderita juga bisa sensitif terhadap hal lain, seperti cahaya atau rasa makanan tertentu."
"fibromyalgia","Kelelahan. Fibromyalgia bisa menyebabkan kelelahan ekstrem sampai merasa tidak bertenaga sama sekali, sehingga tidak bisa beraktivitas."
"fibromyalgia","Kualitas tidur buruk. Penderita sering merasa letih walaupun sudah beristirahat cukup."
"fibromyalgia","Gangguan kognitif, misalnya sulit berkonsentrasi atau sering meracau."
"fibromyalgia","Sakit kepala. Biasanya ini adalah akibat dari leher dan bahu kaku yang disebabkan oleh fibromyalgia."
"fibromyalgia","Sindrom iritasi usus besar, yang berakibat penderita mengalami sembelit atau malah diare."
"nyeri-punggung-bawah","Nyeri otot"
"nyeri-punggung-bawah","Nyeri seperti ditusuk-tusuk"
"nyeri-punggung-bawah","Nyeri yang menjalar hingga ke tungkai"
"nyeri-punggung-bawah","Pegal-pegal pada area punggung bawah"
"nyeri-punggung-bawah","Keterbatasan pergerakan punggung bawah atau pinggang"
"penyakit-wilson","kondisi lemah"
"penyakit-wilson","mudah lelah"
"penyakit-wilson","penurunan berat badan"
"penyakit-wilson","mual"
"penyakit-wilson","muntah"
"penyakit-wilson","kehilangan nafsu makan"
"penyakit-wilson","gatal"
"penyakit-wilson","jaundice atau warna kuning pada kulit"
"penyakit-wilson","bengkak karena akumulasi cairan pada tungkai (edema) atau perut (asites)"
"penyakit-wilson","nyeri perut dan perut terasa begah"
"penyakit-wilson","munculnya garis merah kecil (pembuluh darah kapiler) pada kulit di atas pinggang yang disebut spider angioma"
"penyakit-wilson","keram otot"
"ablasi-retina","Muncul bintik-bintik hitam yang mengapung di lapangan penglihatan"
"ablasi-retina","Muncul kilatan cahaya pada satu atau kedua mata"
"ablasi-retina","Penglihatan kabur"
"ablasi-retina","Ada semacam tirai yang menutupi sebagian pandangan mata"
"absence-seizure","Minum obat anti-epilepsi dengan teratur sesuai anjuran dokter"
